id	title	lyricist	composer	voicing	source	status
extra-001	Tomorrow	杉本竜一	杉本竜一	混声三部	https://store.kyogei.co.jp/products/detail/1136	verified
extra-003	空高く	山崎朋子	山崎朋子	混声三部	https://store.kyogei.co.jp/products/detail/216	verified
extra-004	輝くために	若松歓	若松歓	混声三部	https://store.kyogei.co.jp/products/detail/1146	verified
extra-005	この地球のどこかで	三浦恵子	若松歓	混声三部	https://store.kyogei.co.jp/products/detail/1146	verified
extra-006	僕らの奇跡	栂野知子	栂野知子	混声三部	https://store.kyogei.co.jp/products/detail/216	verified
extra-007	心の中にきらめいて	田崎はるか	橋本祥路	混声三部	https://store.kyogei.co.jp/products/detail/843	verified
extra-009	My Own Road -僕が創る明日-	栂野知子	栂野知子	混声三部	https://store.kyogei.co.jp/products/detail/216	verified
extra-010	君と歩こう	栂野知子	栂野知子	混声三部	https://www.ongakunotomo.co.jp/catalog/detail.php?id=875930	verified
extra-017	ぜんぶ	さくらももこ	相澤直人	混声三部	https://store.kyogei.co.jp/products/list?category_id=6&pageno=1	verified-title-normalization-needed
extra-028	さくら	御木白日	大熊崇子	混声三部	https://store.kyogei.co.jp/products/detail/1136	verified
extra-058	空は今	山崎朋子	山崎朋子	混声三部	https://store.kyogei.co.jp/products/list?category_id=6&name=&tag_id=3	verified
extra-061	地球の詩	三浦真理	三浦真理	混声三部	https://store.kyogei.co.jp/products/detail/142	verified
extra-138	光と風をつれて	工藤直子	木下牧子	混声合唱曲集	https://www.ongakunotomo.co.jp/catalog/detail.php?id=543540	collection-not-song
extra-141	ふるさとの四季	こわせ・たまみ	若松正司	合唱組曲	https://www.ongakunotomo.co.jp/catalog/detail.php?id=976230	collection-not-song
